"Paul McCartney","Live and Let Die",2017
"System of a Down","Toxicity",2018
"Big Bad Voodoo Daddy","I Wanna Be Like You",2018
"Alt-J","In Cold Blood",2018
"Santana","She's Not There",2018
"Heart","Barracuda",2018
"Chuck Berry","Johnny B Goode",2018
"Ed Sheeran","Galway Girl",2018
"Kansas","Carry On Wayward Son",2018
"Michael Bolton","How Am I Supposed To Live Without You?",2018
"Porcupine Tree","The Sound of Muzak",2018
"Mumford & Sons","White Blank Page",2018
"Jan Versteegh","Hit The Road Jack",2018
"Electric Six","Gay Bar",2018
"The Pretty Reckless","Make me wanna die",2018
"Jamiroquai","Virtual Insanity",2018
"Electric Light Orchestra","Mr Blue Sky",2018
"Kaiser Chiefs","Everyday I love you less and less",2018
"Papa grows funk","John Brown",2018
"Frank Sinatra","Fly Me To The Moon",2018
"Nothing But Thieves","Amsterdam",2018
"Aretha Franklin","Respect",2018
"Boston","More Than a Feeling",2018
"Led Zeppelin","Heartbreaker",2018
"Doe Maar","De Bom",2018
"Dumpstaphunk","Sheez Music",2018
"Billy Joel","She's Always A Woman",2018
"Sum 41","In Too Deep",2018
"Selah Sue","This World",2018
"Florence + The Machine","You've Got The Love",2018
"Felicia Barton/Jonathan Young","Ducktales",2018
"Led Zeppelin","Good Times Bad Times",2019
"Air Traffic","Just Abuse Me",2019
"Nothing But Thieves","Forever & Ever More",2019
"Vulfpeck",1612,2019
"Avenged Sevenfold","Critical Acclaim",2019
"The 1975","Chocolate",2019
"Muse","Sunburn",2019
"First Aid Kit","My Silver Lining",2019
"My Chemical Romance","Welcome to the Black Parade",2019
"Queen","I Want To Break Free",2019
"Stevie Wonder","Superstition",2019
"Philip Bailey, Phil Collins","Easy Lover",2019
"Hiatus Kaíyote","Nakamarra",2019
"Jackson 5","I Want You Back",2019
"Deep Purple","Burn",2019
"Jamie Cullum","Twentysomething",2019
"Alestorm","Keelhauled",2019
"Jurk!","Zou Zo Graag",2019
"John Mayer","Slow Dancing in a Burning Room",2019
"Arctic Monkeys","I Bet That You Look Good On The Dancefloor",2019
"Pearl Jam","Black",2019
"Dexys Midnight Runners","Come On Eileen",2019
"Haken","Cockroach King",2019
"Jimi Hendrix","All Along The Watchtower",2019
"Ed Sheeran","Make It Rain",2019
"Kansas","Bringing It Back",2019
"Nirvana","Territorial Pissings",2019
"The Beatles","Back In The USSR",2019
"Ben L'Oncle Soul, Beat Assailant","Ain't Off To The Back",2019
"Dolly Parton","9 to 5",2022
"Dire Straits","Sultans of Swing",2022
"Mariya Takeuchi","Plastic Love",2022
"REM","Losing my Religion",2022
"Coldplay","Hymn for the Weekend",2022
"Parcels","Tieduprightnow",2022
"John Mayer","Gravity",2022
"Wies","Meisje",2022
"Mac DeMarco","Freaking out the Neighbourhood",2022
"Alexander Rybak","Fairytale",2022
"Paramore","Still into you",2022
"Boney M.","Rasputin",2022
"Dream Theater","Barstool Warrior",2022
"Muse","United States of Eurasia",2022
"Scary Pockets","Crazy",2022
"Queens of the Stone Age","No One Knows",2022
"ABBA","Lay all your Love on Me",2022
"Kaleo","No Good",2022
"Theo Nijland","Bijna Dood",2022
"Fall Out Boy","Sugar, we're going down",2022
"Earth, Wind & Fire","After the Love has Gone",2022
"Kansas","Down the Road",2022
"Stevie Wonder","Sir Duke",2022
